email_id,email_text,email_version,hour,weekday,user_country,user_past_purchases,email_opened,link_clicked,group
85120,short_email,personalized,2,Sunday,US,5,0,0,Control
106887,long_email,generic,14,Monday,US,6,0,0,Control
684440,long_email,personalized,6,Sunday,UK,3,0,0,Control
139620,short_email,personalized,9,Saturday,US,8,1,0,Control
9157,long_email,generic,7,Friday,UK,4,0,0,Control
635573,short_email,personalized,3,Thursday,US,8,1,0,Control
399688,long_email,personalized,8,Tuesday,US,1,0,0,Control
184475,short_email,personalized,10,Tuesday,US,0,0,0,Control
927342,short_email,generic,8,Tuesday,US,11,0,0,Control
139761,long_email,personalized,4,Sunday,US,1,0,0,Control
746019,short_email,personalized,11,Thursday,FR,0,0,0,Control
95928,long_email,personalized,9,Wednesday,US,1,0,0,Control
100879,short_email,personalized,1,Saturday,US,8,0,0,Control
317406,short_email,generic,8,Sunday,ES,0,0,0,Control
27516,short_email,generic,6,Friday,US,0,0,0,Control
438607,long_email,personalized,7,Sunday,US,10,0,0,Control
327916,long_email,personalized,1,Sunday,FR,1,0,0,Control
219847,long_email,generic,2,Sunday,FR,2,0,0,Control
775805,short_email,personalized,3,Friday,US,4,0,0,Control
619826,short_email,generic,5,Saturday,US,7,0,0,Control
375293,short_email,generic,6,Thursday,UK,13,0,0,Control
214289,long_email,generic,3,Monday,US,1,0,0,Control
205577,short_email,generic,3,Monday,US,2,0,0,Control
165270,short_email,personalized,9,Saturday,US,10,0,0,Control
319978,long_email,personalized,3,Sunday,US,2,0,0,Control
778275,long_email,generic,8,Wednesday,US,0,0,0,Control
186967,short_email,personalized,13,Thursday,FR,2,0,0,Control
47795,short_email,personalized,15,Saturday,US,3,0,0,Control
440760,short_email,personalized,16,Wednesday,US,6,0,0,Control
667595,long_email,generic,8,Sunday,UK,3,0,0,Control
134685,long_email,personalized,9,Sunday,US,6,0,0,Control
436005,long_email,generic,5,Monday,US,6,0,0,Control
467674,long_email,generic,13,Saturday,US,1,0,0,Control
533061,long_email,personalized,5,Tuesday,FR,4,0,0,Control
823261,short_email,personalized,10,Monday,US,9,1,0,Control
143070,short_email,personalized,6,Sunday,US,8,0,0,Control
961413,short_email,personalized,5,Thursday,US,10,0,0,Control
621632,long_email,generic,9,Wednesday,US,8,0,0,Control
579832,long_email,generic,6,Thursday,ES,0,0,0,Control
95563,long_email,generic,7,Sunday,UK,4,0,0,Control
150629,short_email,personalized,3,Tuesday,UK,8,0,0,Control
683204,short_email,generic,9,Tuesday,US,2,0,0,Control
823834,long_email,generic,10,Friday,US,1,0,0,Control
587409,short_email,personalized,15,Thursday,US,7,0,0,Control
623658,long_email,generic,13,Saturday,US,2,1,0,Control
131239,long_email,generic,15,Wednesday,US,2,0,0,Control
726976,long_email,generic,10,Saturday,UK,4,1,0,Control
733938,long_email,personalized,14,Monday,US,2,0,0,Control
495465,short_email,personalized,9,Monday,US,5,0,0,Control
972830,long_email,generic,6,Friday,US,3,0,0,Control
427037,short_email,personalized,5,Wednesday,UK,0,0,0,Control
863003,short_email,generic,7,Thursday,US,1,0,0,Control
119239,short_email,generic,14,Tuesday,US,4,0,0,Control
143326,short_email,generic,3,Tuesday,UK,0,0,0,Control
351459,long_email,personalized,9,Sunday,US,10,0,0,Control
579821,long_email,generic,12,Saturday,US,1,0,0,Control
874917,long_email,personalized,12,Wednesday,FR,3,0,0,Control
18015,short_email,personalized,2,Sunday,UK,7,0,0,Control
786,long_email,personalized,7,Wednesday,ES,0,0,0,Control
132516,long_email,generic,12,Monday,US,3,0,0,Control
906934,short_email,personalized,8,Monday,US,8,0,0,Control
11255,long_email,generic,6,Sunday,US,2,0,0,Control
128718,short_email,generic,11,Sunday,UK,5,0,0,Control
824998,long_email,personalized,9,Thursday,UK,5,0,0,Control
354480,long_email,personalized,17,Tuesday,FR,3,0,0,Control
511154,long_email,personalized,13,Wednesday,US,6,0,0,Control
771583,long_email,generic,20,Friday,US,8,0,0,Control
705101,long_email,generic,9,Monday,US,2,0,0,Control
872158,long_email,generic,2,Tuesday,US,7,1,0,Control
511103,short_email,personalized,9,Monday,US,6,0,0,Control
280898,long_email,generic,7,Thursday,UK,5,0,0,Control
496310,long_email,personalized,5,Monday,US,3,0,0,Control
344139,short_email,generic,7,Saturday,US,10,0,0,Control
262154,long_email,personalized,6,Monday,US,2,0,0,Control
271228,short_email,generic,10,Friday,US,6,0,0,Control
88414,short_email,personalized,4,Thursday,UK,1,0,0,Control
664728,short_email,generic,11,Saturday,FR,7,0,0,Control
477022,long_email,generic,7,Thursday,UK,4,1,1,Control
133487,short_email,personalized,15,Monday,US,0,0,0,Control
62770,short_email,personalized,4,Tuesday,FR,2,0,0,Control
123502,long_email,personalized,11,Monday,US,9,0,0,Control
240707,long_email,generic,9,Sunday,US,11,0,0,Control
231279,short_email,personalized,9,Thursday,US,7,0,0,Control
675134,long_email,personalized,2,Sunday,ES,7,0,0,Control
999304,short_email,personalized,8,Tuesday,UK,4,0,0,Control
89171,long_email,generic,11,Tuesday,FR,2,0,0,Control
266847,long_email,generic,12,Monday,US,6,0,0,Control
494871,long_email,generic,6,Thursday,US,1,0,0,Control
380148,long_email,personalized,10,Sunday,UK,5,0,0,Control
37963,long_email,generic,4,Thursday,US,0,0,0,Control
686116,short_email,personalized,1,Sunday,US,12,1,1,Control
445121,short_email,generic,9,Monday,US,1,0,0,Control
171098,long_email,generic,8,Thursday,US,0,0,0,Control
174001,short_email,personalized,17,Tuesday,US,4,0,0,Control
581194,short_email,personalized,3,Friday,UK,5,0,0,Control
241192,short_email,generic,1,Friday,US,7,0,0,Control
393419,long_email,personalized,9,Sunday,US,6,0,0,Control
291313,long_email,personalized,7,Wednesday,UK,7,0,0,Control
418203,long_email,generic,10,Saturday,US,2,0,0,Control
378235,long_email,personalized,9,Monday,US,4,0,0,Control
150963,long_email,personalized,4,Sunday,US,0,0,0,Control
472054,short_email,personalized,10,Monday,US,0,0,0,Control
563755,long_email,personalized,3,Thursday,UK,4,0,0,Control
182415,short_email,generic,8,Sunday,US,1,0,0,Control
924418,short_email,personalized,8,Saturday,US,1,0,0,Control
93693,short_email,personalized,6,Thursday,FR,6,0,0,Control
650689,long_email,personalized,7,Monday,US,9,0,0,Control
653666,short_email,generic,13,Tuesday,UK,0,0,0,Control
600508,short_email,generic,8,Sunday,US,3,0,0,Control
916591,long_email,generic,6,Wednesday,US,5,1,0,Control
180611,long_email,generic,6,Monday,US,0,0,0,Control
690760,short_email,personalized,6,Monday,US,2,0,0,Control
393559,long_email,generic,14,Monday,ES,8,0,0,Control
242446,short_email,generic,3,Friday,US,4,0,0,Control
148011,long_email,personalized,6,Thursday,ES,8,0,0,Control
349241,short_email,generic,15,Sunday,US,1,0,0,Control
962794,long_email,personalized,11,Thursday,ES,9,0,0,Control
571542,long_email,personalized,5,Sunday,US,0,0,0,Control
217427,short_email,personalized,8,Friday,US,13,0,0,Control
824218,short_email,personalized,12,Monday,US,7,0,0,Control
305212,long_email,personalized,4,Thursday,US,3,0,0,Control
21687,long_email,generic,12,Tuesday,FR,0,0,0,Control
157978,short_email,generic,3,Thursday,US,8,0,0,Control
432931,long_email,generic,2,Saturday,UK,1,0,0,Control
913111,short_email,personalized,11,Tuesday,UK,1,0,0,Control
375499,short_email,generic,4,Wednesday,FR,7,0,0,Control
195075,short_email,generic,3,Tuesday,US,5,0,0,Control
48568,short_email,personalized,3,Wednesday,UK,5,0,0,Control
318214,long_email,personalized,15,Sunday,UK,6,1,0,Control
895611,short_email,personalized,5,Thursday,US,2,0,0,Control
738568,long_email,personalized,6,Friday,US,8,1,1,Control
874875,long_email,generic,13,Thursday,US,0,0,0,Control
144934,long_email,personalized,4,Tuesday,US,0,0,0,Control
298818,short_email,personalized,1,Tuesday,US,6,0,0,Control
132488,long_email,generic,17,Thursday,US,9,0,0,Control
850783,long_email,personalized,2,Wednesday,US,2,1,0,Control
919824,short_email,generic,3,Tuesday,US,8,0,0,Control
674608,long_email,personalized,4,Sunday,FR,2,0,0,Control
122842,long_email,personalized,1,Tuesday,US,7,0,0,Control
497991,long_email,generic,4,Thursday,FR,8,0,0,Control
158001,short_email,generic,18,Friday,FR,0,0,0,Control
21037,long_email,generic,5,Saturday,US,4,0,0,Control
637228,short_email,personalized,9,Saturday,US,1,0,0,Control
93750,short_email,generic,11,Thursday,UK,5,0,0,Control
398928,long_email,generic,9,Saturday,US,6,0,0,Control
245894,long_email,generic,8,Sunday,US,2,0,0,Control
350077,long_email,personalized,8,Sunday,US,6,0,0,Control
150465,short_email,generic,7,Saturday,US,1,0,0,Control
859073,short_email,generic,10,Thursday,US,13,0,0,Control
784367,short_email,generic,6,Thursday,US,5,0,0,Control
365681,short_email,generic,7,Wednesday,US,5,0,0,Control
944736,long_email,personalized,5,Monday,US,1,0,0,Control
244416,long_email,generic,1,Monday,US,4,0,0,Control
855001,long_email,generic,7,Sunday,FR,3,1,0,Control
555978,long_email,personalized,8,Wednesday,FR,2,0,0,Control
498217,long_email,personalized,6,Thursday,UK,11,0,0,Control
508340,long_email,personalized,7,Thursday,US,1,0,0,Control
475149,long_email,personalized,9,Friday,US,8,0,0,Control
829343,short_email,personalized,7,Monday,UK,4,0,0,Control
455630,short_email,generic,8,Sunday,US,1,1,0,Control
260663,short_email,personalized,17,Sunday,ES,0,0,0,Control
233042,long_email,personalized,2,Wednesday,US,7,0,0,Control
531458,long_email,generic,12,Sunday,US,0,0,0,Control
279809,short_email,generic,6,Monday,FR,4,0,0,Control
654867,long_email,generic,11,Friday,US,2,0,0,Control
302310,long_email,personalized,3,Monday,US,2,0,0,Control
744254,short_email,personalized,5,Wednesday,US,2,0,0,Control
824187,short_email,generic,14,Thursday,US,7,1,0,Control
162445,long_email,personalized,9,Wednesday,US,1,0,0,Control
801998,short_email,generic,3,Tuesday,US,3,0,0,Control
900493,long_email,generic,10,Friday,UK,4,0,0,Control
252267,short_email,personalized,11,Friday,US,1,0,0,Control
932708,long_email,generic,5,Wednesday,US,3,0,0,Control
730845,long_email,personalized,6,Thursday,FR,1,0,0,Control
688956,short_email,generic,1,Sunday,US,2,0,0,Control
71258,long_email,generic,9,Wednesday,US,0,0,0,Control
164955,short_email,generic,22,Wednesday,UK,0,0,0,Control
621532,short_email,generic,6,Sunday,US,0,1,0,Control
211056,long_email,generic,9,Tuesday,US,4,0,0,Control
815198,short_email,generic,9,Friday,UK,3,0,0,Control
985883,short_email,personalized,18,Sunday,US,10,0,0,Control
